heading;-;-;company_name;-;language;link;original_url;date_posted;date_ends;date_created;date_updated;address;municipality_name;postal_code;-;pageviews_all;-;applyclicks_all;-;-;-;-;-;-;-;-
Kassatarjoilija, Helsinki-Vantaa, SSP;;;Staffpoint Holding Oy;2-vuorotyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9800385;27.12.2018;31.12.2018;28.12.2018;01.01.2019;01530 VANTAA;Vantaa;01530;;42;;3;;1 Muu;;
Liikepaikkapäällikkö;;;Suur-Seudun Osuuskauppa;kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9800242;27.12.2018;31.12.2018;28.12.2018;01.01.2019;Laurinkatu 37-41, 08100 LOHJA;Lohja;08100;;46;;0;;1 Muu;;
Nosturinkuljettaja;;;SunUra Oy;kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799477;26.12.2018;31.12.2018;27.12.2018;28.12.2018;33680 TAMPERE;Tampere;33680;;13;;0;;1 Muu;;
Henkilökohtainen avustaja;;;Eskoon Sosiaalipalvelujen Kuntayhtymä;3-vuorotyö, alle 11 pv;finnish;;http://paikat.te-palvelut.fi/tpt/9799508;26.12.2018;31.12.2018;27.12.2018;28.12.2018;62100 LAPUA;Lapua;62100;;9;;0;;1 Muu;;
Terveysravintomyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, sopimuksen mukaan, yli 12 kuukautta, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798968;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00180 HELSINKI;Helsinki;00180;;13;;0;;1 Muu;;
Baaritarjoilija-tarjoilija;;;Kairest Oy;vuokratyöpaikka, muu osa-aikatyö, 3 - 6 kk, tarvittaessa töihin kutsuttava;finnish;;http://paikat.te-palvelut.fi/tpt/9799362;26.12.2018;30.12.2018;27.12.2018;31.12.2018;72400 PIELAVESI;Pielavesi;72400;;9;;0;;1 Muu;;
Kuorma-autonkuljettaja;;;Dynamo Henkilöstöratkaisut Oy;vuokratyöpaikka, yötyö, 3 - 6 kk;finnish;;http://paikat.te-palvelut.fi/tpt/9798689;26.12.2018;31.12.2018;27.12.2018;01.01.2019;90100 OULU;Oulu;90100;;49;;0;;1 Muu;;
Tuotantotyöntekijä (kokoonpano);;;Kaiku HR Oy;vuokratyöpaikka, 2-vuorotyö, 3 - 6 kk;finnish;;http://paikat.te-palvelut.fi/tpt/9798988;26.12.2018;31.12.2018;27.12.2018;01.01.2019;26100 RAUMA;Rauma;26100;;35;;6;;1 Muu;;
Sähkösopimusmyyjä (ovelta-ovelle);;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aika mahdollisuus, 6 - 12 kk, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798792;26.12.2018;30.12.2018;27.12.2018;31.12.2018;06100 PORVOO;Porvoo;06100;;8;;0;;1 Muu;;
Sähkösopimusmyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aika mahdollisuus, 6 - 12 kk, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798827;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00130 HELSINKI;Helsinki;00130;;4;;0;;1 Muu;;
Sähkösopimusmyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aika mahdollisuus, 6 - 12 kk, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798825;26.12.2018;30.12.2018;27.12.2018;31.12.2018;01300 VANTAA;Vantaa;01300;;9;;0;;1 Muu;;
Sähkösopimusmyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aika mahdollisuus, 6 - 12 kk, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798821;26.12.2018;30.12.2018;27.12.2018;31.12.2018;02600 ESPOO;Espoo;02600;;3;;0;;1 Muu;;
Sähkösopimusmyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aika mahdollisuus, 6 - 12 kk, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798818;26.12.2018;30.12.2018;27.12.2018;31.12.2018;20100 TURKU;Turku;20100;;14;;0;;1 Muu;;
Sähkösopimusmyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aika mahdollisuus, 6 - 12 kk, Sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798799;26.12.2018;30.12.2018;27.12.2018;31.12.2018;90100 OULU;Oulu;90100;;12;;0;;1 Muu;;
